Boehner,0.032482320179977896,0.006387083247926802,432.0,50.0,241.0,-191.0,", Election of the Speaker"
Passed,0.0068093807561250925,-0.04859514045616577,51.0,351.0,201.0,150.0,"To designate the facility of the United States Postal Service located at 170 Evergreen Square SW in Pine City, Minnesota, as the “Master Sergeant Daniel L. Fedder Post Office”, On Motion to Suspend the Rules and Pass"
Passed,0.006388823071016765,-0.04887737210849453,46.0,352.0,199.0,153.0,"To designate the facility of the United States Postal Service located at 14901 Adelfa Drive in La Mirada, California, as the “Wayne Grisham Post Office”, On Motion to Suspend the Rules and Pass"
Passed,0.0040167398845889594,-0.028508822016832983,31.0,203.0,117.0,86.0,", On Approving the Journal"
Failed,-0.006655687768417828,0.04927451328560154,-49.0,-355.0,-202.0,-153.0,", On Motion to Adjourn"
Passed,0.030474021623186253,0.005020443553667179,397.0,53.0,225.0,-172.0,"Providing for consideration of H.R. 3630, the Middle Class Tax Relief and Job Creation Act, On Question of Consideration of the Resolution"
Passed,0.03180509952068754,0.005442470220500455,412.0,54.0,233.0,-179.0,"Providing for consideration of the bill (H.R. 3630) to provide incentives for the creation of jobs, and for other purposes, On Ordering the Previous Question"
Passed,0.031587613209816005,0.0050584807132256545,410.0,56.0,233.0,-177.0,"Providing for consideration of the bill (H.R. 3630) to provide incentives for the creation of jobs, and for other purposes, On Agreeing to the Resolution"
Passed,0.0072339420890544705,-0.057433992849180875,49.0,415.0,232.0,183.0,"To designate the facility of the United States Postal Service located at 15455 Manchester Road in Ballwin, Missouri, as the “Specialist Peter J. Navarro Post Office Building”, On Motion to Suspend the Rules and Pass"
Passed,0.007061559784421603,-0.0579130155346561,46.0,416.0,231.0,185.0,"To amend title 39, United States Code, to extend the authority of the United States Postal Service to issue a semipostal to raise funds for breast cancer research, On Motion to Suspend the Rules and Pass"
Failed,-0.032404180940847224,-0.0044087535967336075,-415.0,-61.0,-238.0,177.0,"To provide incentives for the creation of jobs, and for other purposes, On Motion to Recommit with Instructions"
Passed,0.02971767871469646,0.004881420094995656,380.0,40.0,210.0,-170.0,"To provide incentives for the creation of jobs, and for other purposes, On Passage"
Passed,0.0072082323984142644,-0.05790957244524022,48.0,420.0,234.0,186.0,"To designate the facility of the United States Postal Service located at 8 West Silver Street in Westfield, Massachusetts, as the “William T. Trant Post Office Building”, On Motion to Suspend the Rules and Pass"
Passed,0.031098869377630397,0.0037583888204535966,398.0,62.0,230.0,-168.0,"Providing for consideration of the conference report to accompany H.R. 1540, to authorize appropriations for FY 2012 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, On Ordering the Previous Question"
Passed,0.030512292792707642,0.0010061717853281278,384.0,76.0,230.0,-154.0,"Providing for consideration of the conference report to accompany H.R. 1540, to authorize appropriations for FY 2012 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, On Agreeing to the Resolution"
Passed,0.008443898190256155,-0.05553821219767209,63.0,399.0,231.0,168.0,"To strengthen Iran sanctions laws for the purpose of compelling Iran to abandon its pursuit of nuclear weapons and other threatening activities, and for other purposes, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.007566109877398905,-0.057380821508370365,52.0,416.0,234.0,182.0,"To provide for the application of measures to foreign persons who transfer to Iran, North Korea, and Syria certain goods, services, or technology, and for other purposes, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.007067168103594173,-0.057367971639365856,46.0,416.0,231.0,185.0,"To award Congressional Gold Medals in honor of the men and women who perished as a result of the terrorist attacks on the United States on September 11, 2001., On Motion to Suspend the Rules and Pass"
Passed,0.007023932125199944,-0.057846979641190885,45.0,417.0,231.0,186.0,"To designate the property between the United States Federal Courthouse and the Ed Jones Building located at 109 South Highland Avenue in Jackson, Tennessee, as the “M.D. Anderson Plaza” and to authorize the placement of a historical/identification marker on the grounds recognizing the achievements and philanthropy, On Motion to Suspend the Rules and Pass, as Amended"
Failed,-0.0316564043407691,-0.006147503027393239,-415.0,-51.0,-233.0,182.0,"To authorize appropriations for fiscal year 2012 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes, On Motion to Recommit with Instructions"
Passed,0.013979149265468123,-0.02204474732324864,147.0,147.0,147.0,0.0,"To authorize appropriations for fiscal year 2012 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes, On Agreeing to the Conference Report"
Passed,0.0036958673642006014,-0.035724930999667136,21.0,247.0,134.0,113.0,", On Approving the Journal"
Passed,0.00696445045087588,-0.05717805400684742,45.0,411.0,228.0,183.0,"To require the Secretary of the Treasury to mint coins in commemoration of the 225th anniversary of the establishment of the Nation’s first Federal law enforcement agency, the United States Marshals Service., On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.007344879707105709,-0.057377921286774956,50.0,416.0,233.0,183.0,"To ensure public access to the summit of Rattlesnake Mountain in the Hanford Reach National Monument for educational, recreational, historical, scientific, cultural, and other purposes, On Motion to Suspend the Rules and Pass"
Passed,0.006574133286234331,-0.056587052063792005,41.0,403.0,222.0,181.0,"To provide for the conveyance of certain property from the United States to the Maniilaq Association located in Kotzebue, Alaska, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.03150977990716162,0.0045892403399459035,408.0,60.0,234.0,-174.0,"Providing for consideration of the conference report to accompany H.R. 2055, Military Construction, Veterans Affairs, and related agencies Appropriations for FY 2012; providing for consideration of H.R. 3672, making appropriations for disaster relief requirements for FY 2012, On Ordering the Previous Question"
Passed,0.029842841228739758,-0.000640655632970634,378.0,88.0,233.0,-145.0,"Providing for consideration of the conference report to accompany H.R. 2055, Military Construction, Veterans Affairs, and related agencies Appropriations for FY 2012; providing for consideration of H.R. 3672, making appropriations for disaster relief requirements for FY 2012, On Agreeing to the Resolution"
Passed,0.009778433071068607,-0.05208141030757586,79.0,373.0,226.0,147.0,"Intelligence Authorization Act for Fiscal Year 2012, On Motion to Suspend the Rules and Concur in the Senate Amendment"
Passed,0.007256824782463131,-0.05698355952927521,49.0,413.0,231.0,182.0,"To provide for the exchange of certain land located in the Arapaho-Roosevelt National Forests in the State of Colorado, and for other purposes, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.002459888782690067,-0.0320933529638094,-53.0,175.0,61.0,114.0,"Making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2012, and for other purposes, On Agreeing to the Conference Report"
Passed,0.030707640411364083,-0.0012932361199445095,378.0,90.0,234.0,-144.0,"Directing the Clerk of the House of Representatives to make corrections in the enrollment of H.R. 3672, On Agreeing to the Concurrent Resolution"
Passed,-0.003872241257340237,-0.047008420112193666,-78.0,284.0,103.0,181.0,"Making appropriations for disaster relief requirements for the fiscal year ending September 30, 2012, and for other purposes, On Passage"
Passed,0.03185243789093525,0.006843791485576765,418.0,46.0,232.0,-186.0,"Providing for consideration of the Senate amendments to the bill (H.R. 3630) to provide incentives for the creation of jobs; and providing for consideration of the resolution (H.Res. 501), On Ordering the Previous Question"
Passed,0.031698849368281774,0.007068815587325369,416.0,44.0,230.0,-186.0,"Providing for consideration of the Senate amendments to the bill (H.R. 3630) to provide incentives for the creation of jobs; and providing for consideration of the resolution (H.Res. 501), On Agreeing to the Resolution"
Passed,0.031172619697603026,0.007945166356139255,409.0,35.0,222.0,-187.0,"To provide incentives for the creation of jobs, and for other purposes, On Motion to Go to Conference"
