Hastert,-0.03625032919550655,0.027873739208515436,424.0,28.0,226.0,-198.0,", Election of the Speaker"
Passed,-0.03656926942007964,0.02726633700221716,423.0,33.0,228.0,-195.0,"Waiving points of order against the conference report to accompany the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006, On Ordering the Previous Question"
Passed,-0.024096375641862375,-0.019366905685342373,87.0,269.0,178.0,91.0,", On Approving the Journal"
Passed,-0.0329939805119728,0.028736201199827435,394.0,4.0,199.0,-195.0,"Congressional Budget for FY 2006, On Agreeing to the Conference Report"
Passed,-0.022318139102637434,-0.027127153302835806,37.0,315.0,176.0,139.0,"Supporting the goals of World Intellectual Property Day, and recognizing the importance of intellectual property in the United States and worldwide, On Motion to Suspend the Rules and Agree"
Passed,-0.03547858450152184,0.027651301015621178,415.0,25.0,220.0,-195.0,", On Motion to Table the Resolution"
Passed,-0.0273165571166404,-0.037406155884505195,29.0,415.0,222.0,193.0,"Observing the 30th anniversary of the fall of the Republic of Vietnam to the Communist forces of North Vietnam, On Motion to Suspend the Rules and Agree, As Amended"
Failed,0.03569611672305693,-0.02739425105672509,-416.0,-28.0,-222.0,194.0,"Vocational and Technical Education for the Future Act, On Motion to Recommit with Instructions"
Passed,-0.025756972040613783,-0.038122835186850314,12.0,406.0,209.0,197.0,"Vocational and Technical Education for the Future Act, On Passage"
Passed,-0.02755864384450454,-0.03804573286374933,25.0,419.0,222.0,197.0,"Calling on the Government of the Federal Republic of Nigeria to transfer Charles Ghankay Taylor, former President of the Republic of Liberia, to the Special Court for Sierra Leone to be tried for war crimes, crimes against humanity, and other serious violations of international humanitarian law, On Motion to Suspend the Rules and Agree"
Passed,-0.02769953236052718,-0.03745509874551662,30.0,418.0,224.0,194.0,"Recognizing the 60th anniversary of Victory in Europe (VE) Day and the Liberation of Western Bohemia, On Motion to Suspend the Rules and Agree"
Passed,-0.02667660345789417,-0.036814334803701984,24.0,404.0,214.0,190.0,"Federal Deposit Insurance Reform Act, On Passage"
Passed,-0.0277747853714321,-0.03810322552950002,28.0,422.0,225.0,197.0,"Recognizing the 60th anniversary of Victory in Europe (VE) Day during World War II, On Motion to Suspend the Rules and Agree, As Amended"
Passed,-0.035908859832406034,0.02740856398292636,417.0,29.0,223.0,-194.0,"Waiving points of order against the conference report to accompany the bill (H.R. 1268) making Emergency Supplemental Appropriations for Defense, the Global War on Terror, and Tsunami Relief, for the fiscal year ending September 30, 2005, and for other purposes, On Ordering the Previous Question"
Failed,0.03593735303773784,-0.027922334438918006,-421.0,-25.0,-223.0,198.0,"Making emergency supplemental appropriations for the fiscal year ending September 30, 2005, and for other purposes, On Motion to Recommit the Conference Report with Instructions"
