Foley,0.044791782620390554,0.03209696438548673,-426.0,96.0,-165.0,261.0,", ELECTION OF SPEAKER"
Passed,0.040901275708671574,0.013021770527726288,-315.0,147.0,-84.0,231.0,", On Approving the Journal"
Failed,-0.038695911821334084,-0.015836531669299856,316.0,-132.0,92.0,-224.0,", ON MOTION TO ADJOURN"
Passed,0.035556887537606156,-0.02382577661726787,-180.0,286.0,53.0,233.0,", ON MOTION TO ADJOURN"
Passed,0.04048614583370902,0.014694329444083694,-318.0,136.0,-91.0,227.0,", On Approving the Journal"
Failed,0.03585680207308521,0.01718674401318311,-268.0,114.0,-77.0,191.0,"NATIONAL INSTITUTES OF HEALTH REVITALIZATION AMENDMENTS OF 1992, PASSAGE, OBJECTIONS OFTHE PRESIDENT NOTWITHSTANDING"
Passed,0.0431523803806526,0.033344634203605325,-412.0,82.0,-165.0,247.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 5427; LEGISLATIVE BRANCH APPROPRIATIONS FOR FY 1993, On Ordering the Previous Question"
Passed,0.040253625559024064,0.034528773863687176,-390.0,64.0,-163.0,227.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 5427; LEGISLATIVE BRANCH APPROPRIATIONS FOR FY 1993, On Agreeing to the Resolution"
Agreed to,0.03465328385108179,-0.05493240007981065,-93.0,425.0,166.0,259.0,", On Agreeing to the Amendment"
Failed,-0.04449406682975998,-0.015336208845287472,339.0,-157.0,91.0,-248.0,", On Agreeing to the Amendment"
Agreed to,0.03324526199443881,-0.05438176961065831,-84.0,414.0,165.0,249.0,", On Agreeing to the Amendment"
Passed,0.02027316213895877,-0.05468198063612556,-4.0,330.0,163.0,167.0,"LEGISLATIVE BRANCH APPROPRIATIONS, On Motion to Recommit with Instructions"
Passed,0.04272050324202998,0.018944439319595927,-335.0,135.0,-100.0,235.0,"LEGISLATIVE BRANCH APPROPRIATIONS, On Passage"
Passed,0.04137334332677999,0.03449965397089112,-394.0,68.0,-163.0,231.0,"PROVIDING FOR CONSIDERATION OF H.R. 5368; FOREIGN OPERATIONS APPROPRIATIONS FOR FY 1993, On Agreeing to the Resolution"
Agreed to,0.03423575883091157,-0.053107965989147084,-95.0,415.0,160.0,255.0,", ON AGREEING TO THE AMENDMENT"
Agreed to,-0.0196029546669529,-0.029774099483081296,164.0,20.0,92.0,-72.0,", On Agreeing to the Amendment"
Passed,0.026216206126949096,-0.053707763006926416,-47.0,363.0,158.0,205.0,"FOREIGN APPROPRIATIONS, FISCAL YEAR 1993, On Motion to Recommit with Instructions"
Passed,0.028165492072441668,-0.006323042931005224,-134.0,174.0,20.0,154.0,"FOREIGN APPROPRIATIONS, FISCAL YEAR 1993, On Passage"
Passed,-0.008045896017627075,-0.03961592602132121,134.0,110.0,122.0,-12.0,"RAILROAD LABOR MANAGEMENT DISPUTE RESOLUTION, On Passage"
Agreed to,0.03284395145900953,0.000840734646276051,-214.0,158.0,-28.0,186.0,", On Agreeing to the Amendment"
Agreed to,0.02839004798467024,-0.04593841301602887,-71.0,349.0,139.0,210.0,", On Agreeing to the Amendment"
Passed,0.03587279755329979,-0.0010055157170839983,-220.0,178.0,-21.0,199.0,"NATIONAL UNDERSEA RESEARCH PROGRAM ACT OF 1992, On Passage"
Passed,-0.02686619294529528,-0.037367153526010985,269.0,11.0,140.0,-129.0,"UNEMPLOYMENT COMPENSATION AMENDMENTS OF 1992, MOTION TO INSTRUCT CONFEREES"
Passed,0.02955468197538843,-0.04306010073311297,-89.0,341.0,126.0,215.0,"INDEPENDENT SOCIAL SECURITY ADMINISTRATION, SUSPEND RULES AND PASSAS AMENDED"
Failed,-0.035147008230341954,-0.0025230362290016802,224.0,-168.0,28.0,-196.0,", On Agreeing to the Amendment"
Failed,-0.016189489422294815,0.028993433337246785,52.0,-200.0,-74.0,-126.0,", On Agreeing to the Amendment"
Failed,-0.02964077684204949,0.05052260335949498,69.0,-377.0,-154.0,-223.0,", On Agreeing to the Amendment"
Agreed to,0.03278488174005001,-0.05249080774931198,-83.0,405.0,161.0,244.0,", ON AGREEING TO THE AMENDMENT"
Failed,-0.01938753429804993,0.034970204667821504,20.0,-256.0,-118.0,-138.0,", On Agreeing to the Amendment"
Agreed to,-0.01556790693645725,-0.02424742872790857,150.0,22.0,86.0,-64.0,", On Agreeing to the Amendment"
Agreed to,0.0236408097259881,-0.025423857665055595,-84.0,248.0,82.0,166.0,", On Agreeing to the Amendment"
Passed,0.037264079852369146,-0.007454935286896097,-224.0,212.0,-6.0,218.0,"AGRICULTURE APPROPRIATIONS FOR F.Y. 1993, On Passage"
Failed,0.022805618397527334,0.04251914059317547,-235.0,-51.0,-143.0,92.0,"CONSUMER PROTECTION AGAINST PRICE FIXING ACT, On Agreeing to the Conference Report"
Passed,0.037659118051304674,0.015020659601543545,-299.0,127.0,-86.0,213.0,"WAIVING ALL POINTS OF ORDER AGAINST THE CONFERENCE REPORT ON S. 1306, On Agreeing to the Resolution"
Passed,0.0331616053174476,-0.03043293034164612,-124.0,298.0,87.0,211.0,"ALCOHOL, DRUG ABUSE, AND MENTAL HEALTH ADMINISTRATION REORGANIZATION ACT OF 1991, On Agreeing to the Conference Report"
Passed,0.03485070749655959,-0.047542052419533874,-109.0,385.0,138.0,247.0,"WAIVING CERTAIN POINTS OF ORDER DURING CONSIDERATION OF H.R. 5488; MAKING APPROPRIATIONS FOR TREASURY, POSTAL SERVICE FOR FY 1993, On Agreeing to the Resolution"
Agreed to,0.0280065125195421,-0.04851972208257568,-74.0,360.0,143.0,217.0,", On Agreeing to the Amendment"
Failed,-0.03813145301796422,-0.03586513307693003,341.0,-51.0,145.0,-196.0,", On Agreeing to the Amendment"
Failed,-0.03708071231131052,-0.024238147488913328,327.0,-95.0,116.0,-211.0,", On Agreeing to the Amendment"
