Passed,-1.2737134339115221e-18,-1.2788656998001387e-18,0.0,0.0,0.0,0.0,"Providing for the appointment of Shirley Ann Jackson as a citizen regent of the Board of Regents of the Smithsonian Institution, On Motion to Suspend the Rules and Pass"
Passed,1.6320852936008557e-19,-1.2740682382948807e-18,0.0,0.0,0.0,0.0,"Providing for the appointment of Robert P. Kogod as a citizen regent of the Board of Regents of the Smithsonian Institution, On Motion to Suspend the Rules and Pass"
Passed,6.752570918534955e-19,-1.2428663048992714e-18,0.0,0.0,0.0,0.0,"Providing for the Consideration of H.R. 6, Energy Policy Act of 2005, On Consideration of the Resolution"
Passed,-3.700547301527024e-19,5.1710612157829466e-18,0.0,0.0,0.0,0.0,"Expressing the condolences and deepest sympathies of the Congress in the aftermath of the recent school shooting at Red Lake High School in Red Lake, Minnesota, On Motion to Suspend the Rules and Agree"
Passed,-1.3313390475472343e-18,1.6760418347324236e-18,0.0,0.0,0.0,0.0,"Recognizing the University of Pittsburgh and Dr. Jonas Salk on the Fiftieth Anniversary of the Milestone Discovery of the Salk Polio Vaccine, On Motion to Suspend the Rules and Agree, as Amended"
Failed,2.2921326607164902e-18,6.301104217679409e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.4068436596238285e-18,1.4181742082656325e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-7.525238081891906e-19,4.807815467707862e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,6.964701455295347e-20,-7.105689586689657e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,1.6907227626293796e-18,-2.3229872231535684e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,1.266391671559601e-19,-1.973461411553007e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.6491994390632015e-18,2.8860910498976256e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.1631087913457529e-18,-6.161849304524233e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,7.283592013987211e-19,-2.0912305548130114e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.1829057984331233e-18,1.9482707433382795e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-4.523683450957588e-19,1.9034581327726284e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-1.3084808989990458e-19,1.1312835376881046e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,4.1476958864866106e-19,-2.229285407204463e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,4.776451590929242e-19,4.337916866390606e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.374426676070583e-18,-8.100256726518798e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Motion to Strike"
Failed,9.320523905107208e-19,-3.879333397599323e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-2.463091934803626e-18,-5.142949514309428e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,5.903895125374828e-19,-7.224881699858759e-19,0.0,0.0,0.0,0.0,"Energy Policy Act of 2005, On Passage"
