Pelosi,-0.019809728324504325,0.035681216171963945,-429.0,81.0,-174.0,255.0,", Election of the Speaker"
Passed,-0.031218417317803893,-0.01856458906391698,-79.0,423.0,172.0,251.0,"To designate the facility of the United States Postal Service located at 140 Merriman Road in Garden City, Michigan, as the “John J. Shivnen Post Office Building”, On Motion to Suspend the Rules and Pass"
Passed,-0.0309639882758483,-0.017839296080761402,-83.0,415.0,166.0,249.0,"To provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes, On Motion to Suspend the Rules and Pass"
Passed,0.0032430680116587625,-0.03367107815392869,256.0,92.0,174.0,-82.0,"Santa Cruz Valley National Heritage Area Act, On Motion to Recommit with Instructions"
Passed,-0.02267110742310639,0.027267773035952004,-365.0,139.0,-113.0,252.0,"Santa Cruz Valley National Heritage Area Act, On Passage"
Passed,-0.030791708243962313,-0.018383618975259274,-76.0,418.0,171.0,247.0,"Acknowledging and congratulation Western Wyoming Community College in Southwest Wyoming on the occasion of its 50th anniversary of service to the students and citizens of the State of Wyoming, On Motion to Suspend the Rules and Agree"
Failed,0.02633609670754516,0.005990186830675061,137.0,-313.0,-88.0,-225.0,", On Motion to Adjourn"
Passed,-0.026529152777266772,0.009263634171933459,-248.0,250.0,1.0,249.0,"Surface Transportation Extension Act of 2009, On Motion to Suspend the Rules and Pass"
Failed,0.025995688983075402,0.004174821866060488,147.0,-299.0,-76.0,-223.0,", On Motion to Adjourn"
Passed,-0.018669663661433314,0.03483832746580622,-405.0,69.0,-168.0,237.0,"Making appropriations for the Legislative Branch FY 2010, On Ordering the Previous Question"
Failed,0.014218403855201622,-0.03476559990365329,358.0,-22.0,168.0,-190.0,"Making appropriations for the Legislative Branch FY 2010, On Motion to Instruct Conferees"
Passed,-0.017386940247602796,0.03545112800523452,-397.0,53.0,-172.0,225.0,"Providing for consideration of motions to suspend the rules, On Agreeing to the Resolution"
Passed,-0.030637415065333726,-0.017463601487166063,-83.0,409.0,163.0,246.0,"Expressing support for designation of September 23, 2009, as “National Job Corps Day”, On Motion to Suspend the Rules and Agree"
Passed,-0.029783295930022484,-0.014803583706130292,-92.0,388.0,148.0,240.0,"Medicare Premium Fairness Act, On Motion to Suspend the Rules and Pass"
Passed,-0.013708777150569175,0.03308142000141738,-346.0,20.0,-163.0,183.0,"Providing for consideration of the conference report to accompany the bill (H.R. 2918) making appropriations for the Legislative Branch for the fiscal year ending September 30, 2010, and for other purposes, On Agreeing to the Resolution"
Passed,-0.014153385172922306,0.03217216845641778,-341.0,27.0,-157.0,184.0,"Making appropriations for the Legislative Branch FY 2010, On Agreeing to the Conference Report"
Passed,-0.022377988091541564,0.01605250977322948,-273.0,179.0,-47.0,226.0,"Thunder Bay National Marine Sanctuary and Underwater Preserve Boundary Modification Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.028849035212132758,-0.01835476081962404,-65.0,393.0,164.0,229.0,"Supporting the goals and ideals of National Life Insurance Awareness Month, On Motion to Suspend the Rules and Agree"
Passed,-0.020977415122149203,-0.022200325959426576,14.0,318.0,166.0,152.0,"Making appropriations for Agriculture, Rural Development, Food and Drug Administration, and Related Agencies programs for the fiscal year ending September 30, 2010, and for other purposes, On Motion to Instruct Conferees"
Failed,-0.018610820399083412,0.034410833301206936,-404.0,70.0,-167.0,237.0,"Bay Area Regional Water Recycling Program Expansion Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.026479905365078774,0.006272453684775962,-224.0,260.0,18.0,242.0,"Chesapeake Bay Science, Education, and Ecosystem Enhancement Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.03084402543571278,-0.018452161269961905,-77.0,417.0,170.0,247.0,"Chesapeake Bay Accountability and Recovery Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,0.002394982200084662,-0.03239574870973017,243.0,95.0,169.0,-74.0,"Making appropriations for Homeland Security FY 2010, On Motion to Instruct Conferees"
Passed,-0.031107389134907844,-0.01829711268702022,-79.0,421.0,171.0,250.0,"Congratulating the University of Washington women’s softball team for winning the 2009 Women’s College World Series, On Motion to Suspend the Rules and Agree"
Passed,-0.030588930816776973,-0.01799958799931875,-77.0,413.0,168.0,245.0,"Recognizing the 100th anniversary of the State News at Michigan State University, On Motion to Suspend the Rules and Agree"
