Pelosi,-0.019809728324504325,0.035681216171963945,-429.0,81.0,-174.0,255.0,", Election of the Speaker"
Passed,-0.028479587874546224,-0.018779103403967788,-59.0,393.0,167.0,226.0,"To eliminate an unused lighthouse reservation, provide management consistency by bringing the rocks and small islands along the coast of Orange County, California, and meet the original Congressional intent of preserving Orange County’s rocks and small islands, and for other purposes, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.015875889044828326,0.03508602246448523,-380.0,40.0,-170.0,210.0,"Providing for consideration of the conference report to accompany the bill (H.R. 3288) making appropriations for the Departments of Transportation and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2010, and for other purposes, On Ordering the Previous Question"
Passed,-0.014334695590925303,0.03554580614097564,-363.0,21.0,-171.0,192.0,"Providing for consideration of the conference report to accompany the bill (H.R. 3288) making appropriations for the Departments of Transportation and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2010, and for other purposes, On Agreeing to the Resolution"
Passed,-0.014335129327801496,0.03590687471389365,-368.0,20.0,-174.0,194.0,"Making appropriations for the Departments of Transportation, HUD, and related agencies for FY 2010, On Agreeing to the Conference Report"
Passed,-0.03071015595000423,-0.018749335444691737,-75.0,419.0,172.0,247.0,"To designate the facility of the United States Postal Service located at 43 Maple Avenue in Shrewsbury, Massachusetts, as the “Ann Marie Blute Post Office”, On Motion to Suspend the Rules and Pass"
Passed,-0.01754743881331362,0.03560928379631919,-398.0,56.0,-171.0,227.0,"Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, On Agreeing to the Resolution"
Passed,-0.017223936833894095,0.03573001636977488,-396.0,52.0,-172.0,224.0,"Providing for further consideration of the bill (H.R. 4173) to provide for financial regulatory reform, to protect consumers and investors, to enhance Federal understanding of insurance issues, to regulate the over-the-counter derivatives markets, and for other purposes, On Agreeing to the Resolution"
Agreed to,-0.01716450029453275,0.03486639777113096,-395.0,53.0,-171.0,224.0,", On Agreeing to the Amendment"
Failed,0.019193283000453337,-0.0341614786148184,406.0,-80.0,163.0,-243.0,", On Agreeing to the Amendment"
Agreed to,-0.012043826130296798,0.028828353050427975,-297.0,21.0,-138.0,159.0,", On Agreeing to the Amendment"
Agreed to,-0.0064809670454858805,-0.029459332576554104,163.0,183.0,173.0,10.0,", On Agreeing to the Amendment"
Failed,0.0014453854552052372,0.03145857891835175,-209.0,-135.0,-172.0,37.0,", On Agreeing to the Amendment"
Failed,0.011882281578856978,0.025964996749345926,-101.0,-233.0,-167.0,-66.0,", On Agreeing to the Amendment"
Failed,0.0019357185649714768,0.029548461084768225,-194.0,-134.0,-164.0,30.0,", On Agreeing to the Amendment"
Failed,9.713421596031671e-05,0.03098327502209822,-219.0,-119.0,-169.0,50.0,", On Agreeing to the Amendment"
Failed,0.019614549939618288,-0.03254511468747541,394.0,-90.0,152.0,-242.0,", On Agreeing to the Amendment"
Agreed to,-0.014739951258645825,0.0348614394840748,-373.0,27.0,-173.0,200.0,", On Agreeing to the Amendment"
Failed,-0.006321582732904823,0.03278970044013795,-276.0,-56.0,-166.0,110.0,", On Agreeing to the Amendment"
Agreed to,-0.02174316238568522,0.028310370200189672,-371.0,125.0,-123.0,248.0,", On Agreeing to the Amendment"
Failed,0.013621677415489112,-0.036044843657666636,363.0,-13.0,175.0,-188.0,", On Agreeing to the Amendment"
Failed,0.01906550151660571,-0.03488546241916614,411.0,-73.0,169.0,-242.0,", On Agreeing to the Amendment"
Failed,0.016395719761577787,-0.035878505857147205,384.0,-42.0,171.0,-213.0,"The Wall Street Reform and Consumer Protection Act of 2009, On Motion to Recommit with Instructions"
Passed,-0.014379306049986893,0.035383594477852165,-371.0,21.0,-175.0,196.0,"The Wall Street Reform and Consumer Protection Act of 2009, On Passage"
Passed,-0.025344946600894862,-0.015307048695010554,-63.0,341.0,139.0,202.0,"Recognizing and supporting the goals and ideals of National Runaway Prevention Month, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.02596390558248723,-0.015062327273816819,-69.0,347.0,139.0,208.0,"Commending the Real Salt Lake soccer club for winning the 2009 Major League Soccer Cup, On Motion to Suspend the Rules and Agree"
Passed,-0.030254350658716626,-0.01782236634733574,-79.0,409.0,165.0,244.0,"Honoring the 50th anniversary of the recording of the album “Kind of Blue” and reaffirming jazz as a national treasure, On Motion to Suspend the Rules and Agree"
Passed,-0.030737384487370425,-0.017780125048309777,-83.0,413.0,165.0,248.0,"To allow certain U.S. Customs and Border Protection employees who serve under an overseas limited appointment for at least 2 years, and whose service is rated fully successful or higher throughout that time, to be converted to a permanent appointment in the competitive service, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.03076122336820552,-0.017409149145844672,-86.0,412.0,163.0,249.0,"First Responder Anti-Terrorism Training Resources Act, On Motion to Suspend the Rules and Pass"
Passed,-0.03138777694647841,-0.018742836486427012,-80.0,426.0,173.0,253.0,"Expressing the sense of the House of Representatives regarding guidelines for breast cancer screening for women ages 40 to 49., On Motion to Suspend the Rules and Agree"
Passed,-0.029308758122748243,-0.019072861146255535,-64.0,400.0,168.0,232.0,"Iran Refined Petroleum Sanctions Act of 2009, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.030135214673568674,-0.009799740962600306,-134.0,372.0,119.0,253.0,"Recognizing the lifelong leadership of A. Philip Randolph, On Motion to Suspend the Rules and Agree"
Passed,-0.030795259676950782,-0.017723294767458403,-85.0,413.0,164.0,249.0,"Human Rights Enforcement Act of 2009, On Motion to Suspend the Rules and Pass"
Passed,-0.013921747887154291,0.033463625719439054,-347.0,27.0,-160.0,187.0,"Providing for the sine die adjournment of the first session of the One Hundred Eleventh Congress, On Agreeing to the Resolution"
Passed,-0.015651857282768893,0.036002816491293624,-378.0,34.0,-172.0,206.0,"Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, On Ordering the Previous Question"
Passed,-0.013945485093640003,0.035836816195703815,-362.0,16.0,-173.0,189.0,"Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, On Agreeing to the Resolution"
Passed,-0.030682083701040027,-0.019017106958239723,-73.0,419.0,173.0,246.0,"Honoring the American Kennel Club on its 125th anniversary, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.016520019907962327,0.03633606393503855,-392.0,42.0,-175.0,217.0,"Providing for consideration of the Senate amendment to H.R. 3326, making appropriations for the Department of Defense FY 2010, H.J.Res. 64, making further continuing appropriations for FY 2010, H.R. 4314, to permit continued financing of Government operations, and H.R. 2847, Commerce and Justice, Science FY 2010, On Ordering the Previous Question"
Passed,-0.015098888279936768,0.036031671867482004,-377.0,27.0,-175.0,202.0,"Providing for consideration of the Senate amendment to H.R. 3326, making appropriations for the Department of Defense FY 2010, H.J.Res. 64, making further continuing appropriations for FY 2010, H.R. 4314, to permit continued financing of Government operations, and H.R. 2847, Commerce and Justice, Science FY 2010, On Agreeing to the Resolution"
Passed,-0.031043406539971743,-0.01851276940973619,-80.0,422.0,171.0,251.0,"Recognizing the 70th anniversary of the retirement of Justice Louis D. Brandeis from the United States Supreme Court, On Motion to Suspend the Rules and Agree"
Passed,-0.026364808358372377,-0.01780487809782769,-55.0,361.0,153.0,208.0,"Making appropriations for the Department of Defense for the fiscal year ending September 30, 2010, and for other purposes, On Concurring in the Senate Amendment with an Amendment"
Passed,-0.03078974411666901,-0.018143676244345475,-81.0,417.0,168.0,249.0,"Preventing Harassment through Outbound Number Enforcement (PHONE) Act of 2009, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.012895831401458112,0.036053586076329434,-354.0,4.0,-175.0,179.0,"To permit continued financing of Government operations, On Passage"
Passed,-0.03009395469608796,-0.014457442700302435,-101.0,391.0,145.0,246.0,"Daniel Pearl Freedom of the Press Act of 2009, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.012817270449796182,0.035866437677572305,-353.0,5.0,-174.0,179.0,"Making Appropriations for the Departments of Commerce and Justice, and Science, and Related Agencies for the fiscal year ending September 30, 2010, and for other purposes, On Concurring in Senate Amendment with an Amendment"
Failed,0.01852700295749099,-0.026683055461027224,339.0,-103.0,118.0,-221.0,"Making further continuing appropriations for FY 2010, On Passage, Objections of the President Notwithstanding"
Passed,-0.027872307218662507,-0.017008184896710497,-67.0,379.0,156.0,223.0,"Honoring the life and work of Dr. Martin Luther King, Jr. and encouraging the continued commitment to the Martin Luther King, Jr. Day as a national day of service, On Motion to Suspend the Rules and Agree"
Passed,-0.027280670613480967,-0.016341073975737336,-68.0,368.0,150.0,218.0,"Supporting the initiatives of Chicago Wilderness and the Children’s Outdoor Bill of Rights, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.02596132716035739,-0.01677586565063256,-55.0,355.0,150.0,205.0,"To designate the facility of the United States Postal Service located at 101 West Highway 64 Bypass in Roper, North Carolina, as the “E.V. Wilkins Post Office”., On Motion to Suspend the Rules and Pass"
Passed,-0.029102958599635433,-0.018124912548143027,-69.0,397.0,164.0,233.0,"Congratulating the Northwestern University Feinberg School of Medicine for its 150 years of commitment to advancing science and improving health, On Motion to Suspend the Rules and Agree"
Passed,-0.02905467633558709,-0.017978504579818456,-70.0,396.0,163.0,233.0,"Congratulating the Penn State women’s volleyball team on winning the 2009 NCAA Division I national championship, On Motion to Suspend the Rules and Agree"
Passed,-0.02920090374091933,-0.01804088415540495,-70.0,398.0,164.0,234.0,"Commending the University of Virginia men’s soccer team for winning the 2009 Division I NCAA National Championship, On Motion to Suspend the Rules and Agree"
Passed,-0.018226147409612575,0.035143013632250156,-398.0,64.0,-167.0,231.0,"Rule providing for consideration of H.R. 3254, H.R. 3342, and H.R. 1065, On Ordering the Previous Question"
Failed,-0.01873660652001353,0.03505342458347263,-406.0,68.0,-169.0,237.0,"Castle Nugent National Historic Site Establishment Act of 2010, On Motion to Suspend the Rules and Pass, as Amended"
Failed,0.007874621446224323,-0.03153329757788933,286.0,34.0,160.0,-126.0,"Idaho Wilderness Water Resources Protection Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.01953984149419423,0.03036929522357304,-374.0,96.0,-139.0,235.0,"Taos Pueblo Indian Water Rights Settlement Act, On Passage"
Passed,-0.019167086411874607,0.02929128334439756,-364.0,96.0,-134.0,230.0,"Aamodt Litigation Settlement Act, On Passage"
Passed,-0.020392629650802664,0.028160175745682206,-363.0,115.0,-124.0,239.0,"White Mountain Apache Tribe Water Rights Quantification Act of 2009, On Passage"
Passed,-0.030511656062208185,-0.01766347950412027,-82.0,410.0,164.0,246.0,"Expressing condolences to and solidarity with the people of Haiti in the aftermath of the devastating earthquake of January 12, 2010, On Motion to Suspend the Rules and Agree"
Passed,-0.02969360610191268,-0.014968132104677939,-95.0,387.0,146.0,241.0,"Nuclear Forensics and Attribution Act, Suspend the Rules and Concur in the Senate Amendment"
Passed,-0.02938922593280625,-0.017606648733867136,-74.0,398.0,162.0,236.0,"Expressing support for designation of January 2010 as “National Mentoring Month”, On Motion to Suspend the Rules and Agree"
Passed,-0.029620830049305248,-0.01734024617840611,-78.0,400.0,161.0,239.0,"Recognizing the importance of cervical health and of detecting cervical cancer during its earliest stages and supporting the goals and ideals of Cervical Health Awareness Month, On Motion to Suspend the Rules and Agree"
Passed,-0.02939569811418385,-0.017366822874751317,-76.0,396.0,160.0,236.0,"Expressing support for the designation of January 10, 2010, through January 16, 2010, as National Influenza Vaccination Week, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.017521503986237853,0.03409841732459504,-388.0,60.0,-164.0,224.0,"Providing for consideration of H.R. 3726, Castle Nugent National Historic Site Establishment Act of 2010; and H.R. 4474, Idaho Wilderness Water Facilities Act, On Agreeing to the Resolution"
Passed,-0.029468222117609955,-0.01150820553919083,-115.0,369.0,127.0,242.0,"Expressing support for designation of January as Poverty in America Awareness Month, On Motion to Suspend the Rules and Agree"
Passed,-0.030576925865818803,-0.01855375179619627,-75.0,415.0,170.0,245.0,"Idaho Wilderness Water Facilities Act, On Passage"
Passed,-0.018541458727575767,0.03525961240297949,-407.0,65.0,-171.0,236.0,"Castle Nugent National Historic Site Establishment Act of 2010, On Passage"
Passed,-0.030506674837294016,-0.01712391342775475,-84.0,406.0,161.0,245.0,"To provide for an additional temporary extension of programs under the Small Business Act and the Small Business Investment Act of 1958, and for other purposes, On Motion to Suspend the Rules and Pass"
Passed,-0.030073489503960715,-0.018149774191930305,-74.0,408.0,167.0,241.0,"Honoring the 95th anniversary of the signing of the Rocky Mountain National Park Act, On Motion to Suspend the Rules and Agree"
Passed,-0.02878762120220979,-0.017705759000332957,-68.0,390.0,161.0,229.0,"To designate the facility of the United States Postal Service located at 100 North Taylor Lane in Patagonia, Arizona, as the “Jim Kolbe Post Office.”, On Motion to Suspend the Rules and Pass"
Passed,-0.0287793409816968,-0.017730004166477208,-68.0,390.0,161.0,229.0,"Honoring Jimmie Johnson, 2009 NASCAR Sprint Cup Champion, On Motion to Suspend the Rules and Agree"
Passed,-0.02872786140077465,-0.01758360404117315,-69.0,389.0,160.0,229.0,"Recognizing and supporting the goals and ideals of North American Inclusion Month, On Motion to Suspend the Rules and Agree"
Passed,-0.018304703795024448,0.035408476607356305,-403.0,63.0,-170.0,233.0,"Providing for consideration of H.R. 4061, the Cybersecurity Enhancement Act, On Ordering the Previous Question"
Passed,-0.018031867077114523,0.03543428956545493,-399.0,61.0,-169.0,230.0,"Providing for consideration of H.R. 4061, the Cybersecurity Enhancement Act, On Agreeing to the Resolution"
Passed,-0.03085915603677893,-0.018570024656967124,-76.0,418.0,171.0,247.0,"Recognizing Brescia University for 60 years of leadership in higher education, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.03064714341295154,-0.018659629307557584,-74.0,416.0,171.0,245.0,"Recognizing November 14, 2009, as the 49th anniversary of the first day of integrated schools in New Orleans, Louisiana, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.030438693094673418,-0.01873885270249811,-72.0,414.0,171.0,243.0,"Commemorating the 65th anniversary of the liberation of Auschwitz, a Nazi concentration and extermination camp, honoring the victims of the Holocaust, and expressing commitment to strengthen the fight against bigotry and intolerance, On Motion to Suspend the Rules and Agree, as Amended"
Agreed to,-0.030468645641012038,-0.017418720466750838,-81.0,407.0,163.0,244.0,", On Agreeing to the Amendment"
Agreed to,-0.025137029056540663,-0.020832552102427734,-24.0,360.0,168.0,192.0,", On Agreeing to the Amendment"
Agreed to,-0.03062266868284546,-0.01802118155735342,-77.0,411.0,167.0,244.0,", On Agreeing to the Amendment"
Agreed to,-0.03046400511242722,-0.017815051210508873,-78.0,408.0,165.0,243.0,", On Agreeing to the Amendment"
Agreed to,-0.030544251277236832,-0.017589934912549218,-80.0,408.0,164.0,244.0,", On Agreeing to the Amendment"
Agreed to,-0.030760153271146656,-0.018501155749989156,-76.0,418.0,171.0,247.0,", On Agreeing to the Amendment"
Agreed to,-0.030762844174128206,-0.017090954607948322,-87.0,409.0,161.0,248.0,", On Agreeing to the Amendment"
Agreed to,-0.03094501310375601,-0.01708904747063339,-87.0,411.0,162.0,249.0,", On Agreeing to the Amendment"
Agreed to,-0.031223730369023213,-0.018650859837819337,-78.0,424.0,173.0,251.0,", On Agreeing to the Amendment"
Passed,-0.03139940511108523,-0.017248258104437468,-89.0,417.0,164.0,253.0,"To advance cybersecurity research, development, and technical standards, and for other purposes, On Passage"
Passed,-0.03137665673777507,-0.018513194912590014,-80.0,426.0,173.0,253.0,"Honoring the life and sacrifice of Medgar Evers and congratulating the United States Navy for naming a supply ship after Medgar Evers, On Motion to Suspend the Rules and Agree"
Passed,-0.016277445264252528,0.036427725485571265,-388.0,38.0,-175.0,213.0,"Providing for consideration of the Senate amendment to the joint resolution (H.J. Res. 45) increasing the statutory limit on the public debt, On Ordering the Previous Question"
Passed,-0.013064672059165923,0.03595873323726815,-356.0,6.0,-175.0,181.0,"Providing for consideration of the Senate amendment to the joint resolution (H.J. Res. 45) increasing the statutory limit on the public debt, On Agreeing to the Resolution"
Passed,-0.03058548127181618,-0.016502160735612784,-88.0,406.0,159.0,247.0,"Social Security Disability Applicants’ Access to Professional Representation Act, On Motion to Suspend the Rules and Pass"
Passed,-0.01666073286338372,0.03527590586223639,-391.0,47.0,-172.0,219.0,"Statutory Pay-As-You-Go Act, On Adoption of the second portion of the divided question"
Passed,-0.024222146767607384,-0.015128926744277262,-56.0,330.0,137.0,193.0,"To designate the facility of the United States Postal Service located at 2-116th Street in North Troy, New York, as the “Martin G. ’Marty’ Mahar Post Office”, On Motion to Suspend the Rules and Pass"
Passed,-0.02430889133665011,-0.015118348039293811,-57.0,331.0,137.0,194.0,"To designate the facility of the United States Postal Service located at 930 39th Avenue in Greeley, Colorado, as the “W.D. Farr Post Office Builiding”, On Motion to Suspend the Rules and Pass"
Passed,-0.01852237316431587,0.03327373939846596,-391.0,73.0,-159.0,232.0,"Providing for consideration of the bill (H.R. 2314) to express the policy of the United States regarding the United States relationship with Native Hawaiians and to provide a process for the recognition by the United States of the Native Hawaiian governing entity, On Agreeing to the Resolution"
Passed,-0.03005545180673156,-0.018025006752139985,-74.0,406.0,166.0,240.0,"Recognizing the bravery and efforts of the United States Armed Forces, local first responders, and other members of Operation Unified Response for their swift and coordinated action in light of the Haiti earthquake, On Motion to Suspend the Rules and Agree"
Passed,-0.030084964715483338,-0.017853246323179885,-76.0,406.0,165.0,241.0,"Honoring the heroism of the seven U.S. Agency for International Development and Office of U.S. Foreign Disaster Assistance supported urban search and rescue teams deployed to Haiti, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.03021183865782066,-0.017979835395970433,-76.0,408.0,166.0,242.0,"Supporting the goals and ideals of American Heart Month and National Wear Red Day, On Motion to Suspend the Rules and Agree"
Passed,-0.029625762961018157,-0.01787546358277702,-72.0,402.0,165.0,237.0,"Recognizing the significance of Black History Month, On Motion to Suspend the Rules and Agree"
Failed,0.018925358316271724,-0.03308417329168145,392.0,-78.0,157.0,-235.0,", On Agreeing to the Amendment"
Failed,0.016449069433552982,-0.03236389453692301,358.0,-56.0,151.0,-207.0,", On Agreeing to the Amendment"
Agreed to,-0.01906659045681406,0.03277415997368824,-389.0,81.0,-154.0,235.0,", On Agreeing to the Amendment"
Passed,-0.019083801016448416,0.032854568657722114,-389.0,81.0,-154.0,235.0,"To express the policy of the United States regarding the United States relationship with Native Hawaiians and to provide a process for the recognition by the United States of the Native Hawaiian governing entity, On Passage"
Passed,-0.01783071429367759,0.035830622437991226,-399.0,57.0,-171.0,228.0,"Providing for consideration of the bill (H.R. 4626) to restore the application of the Federal antitrust laws to the business of health insurance to protect competition and consumers, On Agreeing to the Resolution"
Passed,-0.031003600182231843,-0.018606353371322427,-77.0,421.0,172.0,249.0,"Honoring the life of Miep Gies, who aided Anne Frank’s family while they were in hiding and preserved her diary for future generations, On Motion to Suspend the Rules and Agree"
Passed,-0.030857683620354872,-0.017497224438298722,-84.0,412.0,164.0,248.0,"Expressing the sense of the House of Representatives on religious minorities in Iraq, On Motion to Suspend the Rules and Agree, as Amended"
Failed,0.019272995521282543,-0.03410576466241055,403.0,-79.0,162.0,-241.0,"Health Insurance Industry Fair Competition Act, On Motion to Recommit with Instructions"
Passed,-0.030607091321466627,-0.012289942298342764,-120.0,388.0,134.0,254.0,"Health Insurance Industry Fair Competition Act, On Passage"
Passed,-0.030978830869322033,-0.01826420658011916,-79.0,419.0,170.0,249.0,"Honoring and celebrating the contributions of African-Americans to the transportation and infrastructure of the United States, On Motion to Suspend the Rules and Agree"
Passed,-0.01785334305825217,0.034807069600637515,-393.0,61.0,-166.0,227.0,"Providing for consideration of the bill (H.R. 2701) to authorize appropriations for FY 2010 for intelligence and intelligence-related activities of the U.S. Government, the Community Management Account, and the CIA Retirement and Disability System, waiving a requirement of clause 6(a) of rule XIII, On Agreeing to the Resolution"
Passed,-0.012259367429581058,-0.021947547449669626,68.0,218.0,143.0,75.0,"Medicare Physician Payment Reform Act, On Motion to Concur in Senate Amendments"
Passed,-0.03065846424480274,-0.017193923220337356,-85.0,411.0,163.0,248.0,"Supporting the goals and ideals of National Urban Crimes Awareness Week, On Motion to Suspend the Rules and Agree, as Amended"
Agreed to,-0.018668202645127082,0.03329897727788238,-397.0,75.0,-161.0,236.0,", On Agreeing to the Amendment"
Agreed to,-0.02983698014183253,-0.013991180927364195,-103.0,385.0,141.0,244.0,", On Agreeing to the Amendment"
Agreed to,-0.030122401920999214,-0.01724178483241711,-80.0,404.0,162.0,242.0,", On Agreeing to the Amendment"
Failed,0.01444964282915762,-0.033513093346477396,347.0,-31.0,158.0,-189.0,"Intelligence Authorization Act for Fiscal Year 2010, On Motion to Recommit with Instructions"
Passed,-0.017655508437573592,0.03244054594653924,-383.0,67.0,-158.0,225.0,"Intelligence Authorization Act for Fiscal Year 2010, On Passage"
Passed,-0.029071384171375208,-0.015236492795984102,-89.0,383.0,147.0,236.0,"Recognizing the difficult challenges Black veterans faced when returning home after serving in the Armed Forces, their heroic military sacrifices, and their patriotism in fighting for equal rights and for the dignity of a people and a Nation, On Motion to Suspend the Rules and Agree"
Passed,-0.028470554941546617,-0.01684396852796378,-71.0,383.0,156.0,227.0,"Recognizing Louisiana State University for 150 years of service and excellence in higher education, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.025917984865256666,-0.0014254780680955797,-165.0,285.0,60.0,225.0,"Natural Hazards Risk Reduction Act of 2009, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.028507612046357888,-0.01645968616715297,-74.0,382.0,154.0,228.0,"Supporting the goals and ideals of National Engineers Week, and for other purposes, On Motion to Suspend the Rules and Agree"
Passed,-0.016519092574920156,0.03565090725008224,-384.0,44.0,-170.0,214.0,"Providing for the consideration of H.R. 4247, the Preventing Harmful Restraint and Seclusion in Schools Act, On Agreeing to the Resolution"
Passed,-0.030799807510749757,-0.0184221576598911,-76.0,416.0,170.0,246.0,"Congratulating the United States Military Academy at West Point on being named by Forbes magazine as America’s Best College for 2009, On Motion to Suspend the Rules and Agree"
Passed,-0.03064492504589143,-0.017263432733597133,-84.0,408.0,162.0,246.0,"Encouraging individuals across the United States to participate in the 2010 Census to ensure an accurate and complete count beginning April 1, 2010, and expressing support for designation of March 2010 as Census Awareness Month, On Motion to Suspend the Rules and Agree, as Amended"
Agreed to,-0.026177712007086133,-0.0202541792491992,-33.0,367.0,167.0,200.0,", On Agreeing to the Amendment"
Passed,-0.0202739646775829,0.028297244700838275,-351.0,109.0,-121.0,230.0,"Preventing Harmful Restraint and Seclusion in Schools Act, On Passage"
Passed,-0.030297822910646935,-0.017862103164765157,-78.0,406.0,164.0,242.0,"Expressing concern regarding the suicide plane attack on Internal Revenue Service employees in Austin, Texas, On Motion to Suspend the Rules and Agree"
Passed,-0.0308744462354486,-0.01904051621832478,-71.0,421.0,175.0,246.0,"Expressing the appreciation of Congress for the service and sacrifice of the members of the 139th Airlift Wing, Air National Guard, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.030523851731689183,-0.018642618774206903,-72.0,414.0,171.0,243.0,"Recognizing the importance and significance of the 2010 Census and encouraging each community within the Indian Country to name an elder to be the first member of that community to answer the 2010 Census, On Motion to Suspend the Rules and Agree"
Passed,-0.030268877959672025,-0.018911237808368994,-68.0,414.0,173.0,241.0,"Designating March 2, 2010 as “Read Across America Day”, On Motion to Suspend the Rules and Agree"
Passed,-0.017321296884690994,0.03552636157885936,-394.0,52.0,-171.0,223.0,"Providing for consideration of the Senate amendment to H.R. 2847, making appropriations for the Departments of Commerce and Justice, and Science, and Related Agencies for the fiscal year ending September 30, 2010, and for other purposes, On Ordering the Previous Question"
Passed,-0.012193339397936438,0.03325689377722725,-345.0,3.0,-171.0,174.0,"Providing for consideration of the Senate amendment to H.R. 2847, making appropriations for the Departments of Commerce and Justice, and Science, and Related Agencies for the fiscal year ending September 30, 2010, and for other purposes, On Agreeing to the Resolution"
Passed,-0.03056170761806098,-0.01372340007362238,-106.0,390.0,142.0,248.0,"Expressing the support of the House of Representatives for the goals and ideals of the National School Lunch Program, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.012633668451911525,0.030843230769215496,-337.0,17.0,-160.0,177.0,"Hiring Incentives to Restore Employment Act, Concurring with an Amdt to the Senate Amdt to the House Amdt to the Senate Amdt"
Passed,-0.027362260372035204,-0.017352211819053547,-60.0,374.0,157.0,217.0,"Congratulating the National Football League Champion New Orleans Saints for winning Super Bowl XLIV and for bringing New Orleans its first Lombardi Trophy in franchise history, On Motion to Suspend the Rules and Agree, as Amended"
Failed,-0.020267300059785862,0.0250699671822696,-327.0,121.0,-103.0,224.0,"Harmful Algal Blooms and Hypoxia Research and Control Amendments Act, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.029661161731094877,-0.018232465911516532,-70.0,402.0,166.0,236.0,"Congratulating Willard S. Boyle and George E. Smith for being awarded the Nobel Prize in physics, On Motion to Suspend the Rules and Agree"
Passed,-0.029808486901992344,-0.017872596894347365,-74.0,402.0,164.0,238.0,"Honoring John E. Warnock, Charles M. Geschke, Forrest M. Bird, Esther Sans Takeuchi, and IBM Corporation for receiving the 2008 National Medal of Technology and Innovation, On Motion to Suspend the Rules and Agree"
Passed,-0.01446298864745466,0.034336011424429415,-354.0,30.0,-162.0,192.0,"Providing for consideration of the concurrent resolution (H.Con.Res. 248) directing the President, pursuant to section 5(c) of the War Powers Resolution, to remove the United States Armed Forces from Afghanistan, On Agreeing to the Resolution"
Passed,-0.030932908444659738,-0.01849880688478647,-77.0,417.0,170.0,247.0,"Recognizing the plight of people with albinism in East Africa and condemning their murder and mutilation, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-0.03074575176901993,-0.018407598911711613,-76.0,416.0,170.0,246.0,"Prevent Deceptive Census Look Alike Mailings Act, On Motion to Suspend the Rules and Pass, as Amended"
Failed,0.018679908188609547,0.022840957083223864,-32.0,-292.0,-162.0,-130.0,"Directing the President, pursuant to section 5(c) of the War Powers Resolution, to remove the United States Armed Forces from Afghanistan, On Agreeing to the Resolution"
Passed,-0.030200589160859805,-0.018142879851607983,-75.0,409.0,167.0,242.0,"Commemorating the 45th anniversary of Bloody Sunday and the role that it played in ensuring the passage of the Voting Rights Act of 1965, On Motion to Suspend the Rules and Agree"
Passed,-0.029931784902669706,-0.017812656434847796,-75.0,403.0,164.0,239.0,"Expressing condolences to the families of the victims of the February 27, 2010, earthquake in Chile, as well as solidarity with and support for the people of Chile as they plan for recovery and reconstruction, On Motion to Suspend the Rules and Agree"
Passed,-0.03026328303204999,-0.018584055384881414,-72.0,412.0,170.0,242.0,"Impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors, On Agreeing to Article I of the Resolution"
Passed,-0.030382419778456318,-0.017836203543383996,-80.0,410.0,165.0,245.0,"Impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors, On Agreeing to Article II of the Resolution"
Passed,-0.03073001626827932,-0.018524275076571815,-76.0,416.0,170.0,246.0,"Impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors, On Agreeing to Article III of the Resolution"
Passed,-0.031299200727526254,-0.018597794413709037,-79.0,423.0,172.0,251.0,"Impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors, On Agreeing to Article IV of the Resolution"
Passed,-0.030113251178503497,-0.016734890072763162,-86.0,402.0,158.0,244.0,"Raising a question of the privileges of the House, On Ordering the Previous Question"
Passed,-0.02972427826780881,-0.017467929680029973,-77.0,401.0,162.0,239.0,"Raising a question of the privileges of the House, On Motion to Refer the Resolution"
