"
",>>>>>,Lower,Left,<<<<<,"
"
"
",>>>>>,Lower,Right,<<<<<,"
"
"
",>>>>>,Upper,Left,<<<<<,"
"
,-0.039771950302867655,0.042123104271019826,391.0,-29.0,181.0,-210.0,", "
"
",>>>>>,Upper,Right,<<<<<,"
"
,0.03546320848713273,0.05212180359510292,-65.0,401.0,168.0,233.0,", "
,0.036219322014580835,0.052376800059903306,-70.0,408.0,169.0,239.0,", "
,0.03485515497295661,0.05153936849584982,-64.0,394.0,165.0,229.0,", "
,0.033997443041250464,0.051325860226679496,-61.0,389.0,164.0,225.0,", "
,0.03427473809966736,0.05022861785659578,-62.0,384.0,161.0,223.0,", "
,0.03462142929666969,0.051055771239643756,-65.0,395.0,165.0,230.0,", "
,0.03403484155660973,0.05351767740892696,-57.0,399.0,171.0,228.0,", "
,0.034504802391055404,0.049794565316068164,-66.0,390.0,162.0,228.0,", "
,0.03585393112235832,0.05295172126483975,-66.0,408.0,171.0,237.0,", "
,0.036982399329011845,0.05137940764434064,-77.0,407.0,165.0,242.0,", "
