Passed,3.6977893864567595e-18,1.5151125566706367e-18,0.0,0.0,0.0,0.0,"PROVIDING FOR THE CONSIDERATION OF S. 419; TO AMEND THE FEDERAL HOME LOAN BANK ACT TO ENABLE THE RTC TO MEET ITS OBLIGATIONS, MOTION TO CONSIDER"
Agreed to,-3.549097852639685e-18,-1.0114665457355552e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-9.692875498012903e-20,-3.956806237105933e-18,0.0,0.0,0.0,0.0,"RESOLUTION TRUST CORPORATION FUNDING ACT OF 1991, On Passage"
Passed,-2.0947618073638916e-18,1.0240741525521288e-18,0.0,0.0,0.0,0.0,"COMMITTEE FUNDING RESOLUTION FOR 1991, On Ordering the Previous Question"
Passed,-3.283011044888524e-18,3.6852550568750065e-18,0.0,0.0,0.0,0.0,"COMMITTEE FUNDING RESOLUTION FOR 1991, ON AGREEING TO THE RESOLUTION AS AMENDED"
Passed,-8.43929554090582e-19,2.8889661524037186e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Passed,-1.028162287643194e-18,1.770233834210045e-18,0.0,0.0,0.0,0.0,"TO AMEND THE RECLAMATION STATES DROUGHT ASSISTANCE ACT OF 1988, On Passage"
Passed,-3.85884973507457e-18,-1.7088474145069117e-18,0.0,0.0,0.0,0.0,"RESOLUTION TRUST CORPORATION FUNDING ACT OF 1991, On Agreeing to the Conference Report"
Passed,-2.163307055472752e-18,4.721211747616994e-18,0.0,0.0,0.0,0.0,"SUPPLEMENTAL APPROPRIATIONS FOR OPERATION DESERT SHIELD/DESERT STORM, CLOSING PORTIONS OF CONFERENCE"
Passed,3.35485958734588e-18,-1.9185805399985427e-17,0.0,0.0,0.0,0.0,"PERSIAN GULF CONFLICT SUPPLEMENTAL AUTHORIZATION AND PERSONNEL BENEFITS ACT OF 1991, On Passage"
Passed,1.3098902937503442e-18,9.523944912277725e-18,0.0,0.0,0.0,0.0,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATIONS, MOTION TO INSTRUCT CONFEREES"
Failed,1.2417637193655002e-19,7.922056518946612e-18,0.0,0.0,0.0,0.0,", RECOMMIT THE CONFERENCE REPORT WITHINSTRUCTIONS"
Passed,1.6044259235071035e-18,-7.426321688082888e-18,0.0,0.0,0.0,0.0,"MAKING DIRE EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR FY 1991, On Agreeing to the Conference Report"
Passed,-7.532054408640013e-18,9.299394140341604e-18,0.0,0.0,0.0,0.0,"SUPPLEMENTAL APPROPRIATIONS FOR OPERATION DESERT SHIELD/DESERT STORM, On Agreeing to the Conference Report"
Passed,3.41034978884771e-18,-3.3921110307825927e-18,0.0,0.0,0.0,0.0,"TO AWARD A GOLD MEDAL TO GENERAL H. NORMAN SCHWARZKOPF, On Motion to Suspend the Rules and Pass"
Passed,-4.91327482881084e-18,7.80279156021494e-18,0.0,0.0,0.0,0.0,"TO AWARD A GOLD MEDAL FOR GENERAL COLIN L. POWELL, On Motion to Suspend the Rules and Pass"
Passed,-4.132887350976492e-19,2.7151869341771566e-18,0.0,0.0,0.0,0.0,"VETERANS BENEFITS IMPROVEMENT ACT, SUSPEND THE RULES AND PASS AS AMENDED"
Passed,-3.412469873881728e-19,4.313558455118996e-18,0.0,0.0,0.0,0.0,"PROVIDING FOR THE CONSIDERATION OF H. CON. RES 121; REVISING THE CONGRESSIONAL BUDGET FOR THE U.S. GOVERNMENT FOR FY 1991 AND SETTING FORTH THE BUDGET FOR FY 1992 THRU 1996, On Agreeing to the Resolution"
Agreed to,1.7425318969237806e-19,2.0560832804896907e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.9856509304192266e-18,-2.90500917194591e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-4.1267265133602984e-18,5.4905767064072945e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-3.1359573503414576e-18,-3.802051814988929e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-6.2160521691483295e-18,1.62612019182043e-19,0.0,0.0,0.0,0.0,"REVISING THE CONGRESSIONAL BUDGET FOR THE U.S. GOVERNMENT FOR FY 1991 AND SETTING FORTH THE BUDGET FOR FY 1992 THRU 1996, On Agreeing to the Resolution"
Passed,-7.414299356539683e-19,7.354378668315283e-18,0.0,0.0,0.0,0.0,"RAILROAD LABOR/MANAGEMENT DISPUTES, On Passage"
Passed,9.071187962949774e-18,-6.919642047144575e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Failed,6.052466776249293e-18,-1.62500924650203e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,-2.2823423644263755e-19,2.413564526595308e-18,0.0,0.0,0.0,0.0,"NATIONAL FLOOD INSURANCE, MITIGATION, AND EROSION MANAGEMENT ACT OF 1991, On Passage"
Passed,2.4397901381773486e-19,-4.3868658954913334e-18,0.0,0.0,0.0,0.0,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION MULTIYEAR AUTHORIZATION ACT OF 1991, On Passage"
Passed,4.5247048655532674e-18,2.2195402707968414e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Passed,-1.9282031691279154e-18,3.816934319901273e-20,0.0,0.0,0.0,0.0,"DESIGNATING THE CALIFORNIA NATIONAL HISTORIC TRAIL AND PONY EXPRESS NATIONAL HISTORIC TRAIL AS COMPONENTS OF THE NATIONAL TRAILS SYSTEM, SUSPEND THE RULES AND PASS AS AMENDED"
Passed,-3.3621201205256114e-18,5.382788993654562e-18,0.0,0.0,0.0,0.0,"PROVIDING FOR THE CONSIDERATION OF H.R. 7, BRADY HANDGUN VIOLENCE PREVENTION ACT, On Agreeing to the Resolution"
Failed,-5.258883360999743e-18,3.391392596487035e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.1500306058827367e-18,2.421037723883269e-19,0.0,0.0,0.0,0.0,"BRADY HANDGUN PREVENTION ACT, On Motion to Recommit with Instructions"
Passed,-5.700484082426275e-18,-1.837831656502291e-18,0.0,0.0,0.0,0.0,"BRADY HANDGUN PREVENTION ACT, On Passage"
Passed,7.616367822641522e-19,1.3959837764084282e-17,0.0,0.0,0.0,0.0,"DIRE EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR HUMANITARIAN ASSISTANCE TO REFUGEES AND DISPLACED PERSONS IN AND AROUND IRAQ FOR FY 1991, On Passage"
Failed,-2.519892901365194e-18,8.482655836911873e-19,0.0,0.0,0.0,0.0,"CONGRESSIONAL BUDGET FOR THE UNITED STATES GOVERNMENT FOR FISCAL YEARS 1992, 1993, 1994, 1995 AND 1996, PREVIOUS QUESTION ON MOTION TO INSTRUCT CONFEREES"
Failed,-5.1577442280011094e-18,6.334953679125515e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.6489035636521203e-18,-5.324182894376965e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
