Boehner,-0.02922694898919777,0.004836111866541515,360.0,24.0,192.0,-168.0,", Election of the Speaker"
Agreed to,-0.03371661341218789,0.0018502476975890288,412.0,64.0,238.0,-174.0,", On Agreeing to the Amendment"
Failed,0.03324842299573462,-0.0002422452267954141,-404.0,-74.0,-239.0,165.0,", On Agreeing to the Amendment"
Failed,0.03246198655302997,-0.006073296662579745,-395.0,-37.0,-216.0,179.0,", On Agreeing to the Amendment"
Failed,0.033739643507342626,-0.0025881532712703366,-413.0,-59.0,-236.0,177.0,"Debt Management and Fiscal Responsibility Act of 2015, On Motion to Recommit with Instructions"
Passed,-0.03056758762685481,-0.007832731728246105,362.0,116.0,239.0,-123.0,"Debt Management and Fiscal Responsibility Act of 2015, On Passage"
Passed,-0.03377616410939419,0.002813647948628607,413.0,59.0,236.0,-177.0,"Providing for consideration of H.R. 2017, the Common Sense Nutrition Disclosure Act of 2015; and providing for proceedings during the period from February 15, 2016, through February 22, 2016, On Ordering the Previous Question"
Passed,-0.03318512620629451,0.0017882437906048543,403.0,63.0,233.0,-170.0,"Providing for consideration of H.R. 2017, the Common Sense Nutrition Disclosure Act of 2015; and providing for proceedings during the period from February 15, 2016, through February 22, 2016, On Agreeing to the Resolution"
Agreed to,-0.022531279437604475,-0.024749408965648537,257.0,209.0,233.0,-24.0,", On Agreeing to the Amendment"
Failed,0.029167379954058437,0.006772676156413665,-348.0,-110.0,-229.0,119.0,", On Agreeing to the Amendment"
Passed,-0.028896090596343335,-0.008964798743914006,342.0,122.0,232.0,-110.0,"Common Sense Nutrition Disclosure Act of 2015, On Passage"
Passed,-0.006453535048492788,-0.05898426141934516,54.0,406.0,230.0,176.0,"North Korea Sanctions and Policy Enforcement Act of 2016, On Motion to Suspend the Rules and Concur in the Senate Amendment"
Passed,-0.007045360851598988,-0.056407895761819156,64.0,392.0,228.0,164.0,"National Strategy to Combat Terrorist Travel Act of 2016, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.00647435904135699,-0.05735567566566954,57.0,397.0,227.0,170.0,"Foreign Fighter Review Act of 2016, On Motion to Suspend the Rules and Pass, as Amended"
Passed,-0.03394747929848835,0.003308038364178037,417.0,57.0,237.0,-180.0,"Providing for consideration of the bill (H.R. 3624) to amend title 28, United States Code, to prevent fraudulent joinder., On Ordering the Previous Question"
Passed,-0.03404334344754811,0.0031385304364161984,418.0,58.0,238.0,-180.0,"Providing for consideration of the bill (H.R. 3624) to amend title 28, United States Code, to prevent fraudulent joinder., On Agreeing to the Resolution"
Failed,0.03303689261120237,-0.0026092879181347306,-403.0,-59.0,-231.0,172.0,", On Agreeing to the Amendment"
Failed,0.03390290976863138,-0.002764471820073782,-415.0,-59.0,-237.0,178.0,"Fraudulent Joinder Prevention Act, On Motion to Recommit with Instructions"
Passed,-0.03267003545724346,0.0046846674707763806,398.0,40.0,219.0,-179.0,"Fraudulent Joinder Prevention Act, On Passage"
Passed,-0.034011127288664234,0.0025961176703974778,416.0,62.0,239.0,-177.0,"Providing for consideration of the bill (H.R. 2406) to protect and enhance opportunities for recreational hunting, fishing, and shooting, and for other purposes, On Ordering the Previous Question"
Passed,-0.033628896746863576,0.0016799640748880568,410.0,66.0,238.0,-172.0,"Providing for consideration of the bill (H.R. 2406) to protect and enhance opportunities for recreational hunting, fishing, and shooting, and for other purposes, On Agreeing to the Resolution"
Failed,0.03172936354473048,0.0015368619061175508,-379.0,-83.0,-231.0,148.0,", On Agreeing to the Amendment"
Failed,0.03118240924200321,0.001797650798850162,-371.0,-83.0,-227.0,144.0,", On Agreeing to the Amendment"
Failed,0.03266689491621079,-0.0012222068688040014,-395.0,-67.0,-231.0,164.0,", On Agreeing to the Amendment"
Agreed to,-0.0325883583998657,0.002369246877286702,395.0,59.0,227.0,-168.0,", On Agreeing to the Amendment"
Agreed to,-0.03165961108957202,-0.00012975249670628565,378.0,74.0,226.0,-152.0,", On Agreeing to the Amendment"
Agreed to,-0.030843040871427443,0.001898593150057052,367.0,61.0,214.0,-153.0,", On Agreeing to the Amendment"
Agreed to,-0.032353314449229474,0.0012517425665541095,389.0,67.0,228.0,-161.0,", On Agreeing to the Amendment"
